Make,Car_Name,CC_Capacity,Horsepower,Top_Speed_kmh,Acceleration_0_100_sec,Price_USD,Seats,Torque_Nm,Engine_Layout,Fuel_Type_Cleaned
BMW,125I,1998.0,224.0,240.0,6.1,42000.0,5,400.0,Inline,Petrol
BMW,114D,1496.0,95.0,185.0,12.2,27000.0,5,270.0,Inline,Diesel
BMW,114I,1598.0,102.0,195.0,11.2,26000.0,5,200.0,Inline,Petrol
BMW,125D,1995.0,224.0,240.0,6.3,44000.0,5,400.0,Inline,Diesel
BMW,118I Xdrive,1499.0,136.0,211.0,8.9,34000.0,5,250.0,Inline,Petrol
BMW,116D Efficientdynamics,1496.0,116.0,200.0,10.9,30000.0,5,270.0,Inline,Diesel
BMW,118I Sportline,1499.0,136.0,213.0,8.5,35000.0,5,250.0,Inline,Petrol
BMW,118I M Sport,1499.0,136.0,213.0,8.5,37000.0,5,250.0,Inline,Petrol
BMW,120I M Sport,1998.0,178.0,230.0,7.1,39000.0,5,300.0,Inline,Petrol
BMW,116I Efficientdynamics,1598.0,109.0,195.0,10.9,29000.0,5,200.0,Inline,Petrol
BMW,116D Advantage,1496.0,116.0,200.0,10.5,31000.0,5,270.0,Inline,Diesel
BMW,120D Efficientdynamics,1995.0,163.0,225.0,7.7,39000.0,5,400.0,Inline,Diesel
BMW,118I Shadow Line,1499.0,136.0,213.0,8.5,36000.0,5,250.0,Inline,Petrol
BMW,118D Sport Line,1995.0,150.0,216.0,8.4,36000.0,5,380.0,Inline,Diesel
BMW,120I Xdrive,1998.0,178.0,230.0,7.2,40000.0,5,300.0,Inline,Petrol
BMW,114D Sport Line,1496.0,95.0,185.0,12.2,28000.0,5,270.0,Inline,Diesel
BMW,118I Urban Line,1499.0,136.0,213.0,8.5,35000.0,5,250.0,Inline,Petrol
VOLVO,Xc90,1969.0,247.0,200.0,6.5,60000.0,7,400.0,Inline,Mixed Fuel
VOLVO,Xc60,1969.0,247.0,220.0,6.4,55000.0,5,400.0,Inline,Mixed Fuel
VOLVO,S90,1969.0,295.0,250.0,5.9,60000.0,5,400.0,Inline,Mixed Fuel
KIA,Sportage Lx,2480.0,187.0,200.0,8.0,27000.0,5,250.0,Inline,Petrol
KIA,Sportage Ex,2480.0,187.0,200.0,8.0,30000.0,5,250.0,Inline,Petrol
KIA,Sportage Gt-Line,2480.0,187.0,200.0,8.0,32000.0,5,350.0,Inline,Petrol
KIA,Sportage Sx Turbo,1998.0,240.0,210.0,6.7,36000.0,5,400.0,Inline,Petrol
KIA,Sportage Nightfall Edition,2480.0,187.0,200.0,8.0,33000.0,5,350.0,Inline,Petrol
HONDA,Civic Type R,1996.0,315.0,272.0,5.7,44000.0,5,400.0,Inline,Petrol
KIA,Sportage Phev,1600.0,261.0,180.0,8.0,41000.0,5,350.0,Electric Motor,Hybrid
KIA,Sportage 2024(Base Model),2480.0,187.0,200.0,8.0,26000.0,5,250.0,Inline,Petrol
KIA,Sportage 2024(Top Trim),1998.0,240.0,210.0,6.7,38000.0,5,400.0,Inline,Petrol
KIA,Sportage 2024(Base Awd),2480.0,187.0,200.0,8.3,29000.0,5,250.0,Inline,Petrol
KIA,Sportage X-Line,2480.0,187.0,200.0,8.0,32500.0,5,350.0,Inline,Petrol
KIA,Sportage 2024(S Trim),2480.0,187.0,200.0,8.2,28000.0,5,250.0,Inline,Petrol
HONDA,Accord,1498.0,192.0,201.0,7.1,29400.0,5,370.0,Inline,Petrol
KIA,Sportage 2024(Hybrid Awd),1600.0,227.0,180.0,8.0,37000.0,5,350.0,Electric Motor,Hybrid
KIA,Sportage 2024(Plug-In Hybrid Awd),1598.0,261.0,180.0,7.9,42000.0,5,350.0,Electric Motor,Hybrid
KIA,Sportage 2024(X-Pro),2480.0,187.0,200.0,8.1,36000.0,5,400.0,Inline,Petrol
KIA,Sportage 2024(X-Pro Prestige),2480.0,187.0,200.0,8.1,38000.0,5,400.0,Inline,Petrol
KIA,Sportage 2024(Sx Turbo Awd),1998.0,240.0,210.0,6.5,40000.0,5,400.0,Inline,Petrol
KIA,Sportage 2024(Base Fwd),2480.0,187.0,200.0,8.5,26500.0,5,250.0,Inline,Petrol
HONDA,Cr-V,1498.0,190.0,186.0,8.2,30000.0,5,400.0,Inline,Hybrid
HONDA,Pilot,3471.0,285.0,209.0,6.3,40000.0,8,360.0,V-type,Petrol
HONDA,Civic Hatchback,1498.0,180.0,220.0,6.8,26350.0,5,300.0,Inline,Petrol
TOYOTA,Camry,3500.0,301.0,220.0,6.0,27000.0,5,250.0,V-type,Hybrid
TOYOTA,Corolla,1798.0,139.0,180.0,9.4,22500.0,5,200.0,Inline,Hybrid
TOYOTA,Prius,1798.0,121.0,180.0,10.5,26700.0,5,142.0,Inline,Hybrid
TOYOTA,Rav4,2494.0,203.0,200.0,8.1,27100.0,5,400.0,Inline,Hybrid
TOYOTA,Highlander,3456.0,295.0,220.0,7.2,38400.0,7,370.0,V-type,Hybrid
TOYOTA,4Runner,3956.0,270.0,200.0,7.5,37400.0,5,400.0,V-type,Petrol
TOYOTA,Tacoma,2694.0,159.0,180.0,9.5,26400.0,5,400.0,Inline,Petrol
TOYOTA,Tundra,5663.0,381.0,220.0,6.7,39900.0,5,650.0,V-type,Petrol
TOYOTA,Avalon,3456.0,301.0,220.0,6.9,41400.0,5,400.0,V-type,Petrol
TOYOTA,Mirai,1798.0,151.0,180.0,9.2,52400.0,5,335.0,Inline,Hydrogen/CNG
TOYOTA,Sienna,2494.0,245.0,190.0,8.0,44150.0,7,360.0,V-type,Hybrid
TOYOTA,Venza,2494.0,219.0,200.0,7.5,33400.0,5,400.0,Inline,Hybrid
TOYOTA,Highlander Hybrid,3456.0,240.0,220.0,8.2,40400.0,7,350.0,V-type,Hybrid
TOYOTA,Land Cruiser Prado,3956.0,282.0,200.0,7.2,49400.0,7,450.0,V-type,Mixed Fuel
TOYOTA,Tundra Hybrid,3456.0,344.0,220.0,6.2,43400.0,5,650.0,V-type,Hybrid
TOYOTA,Yaris,1496.0,106.0,180.0,11.2,18400.0,5,150.0,Inline,Petrol
TOYOTA,C-Hr,1986.0,144.0,200.0,10.2,24400.0,5,250.0,Inline,Hybrid
TOYOTA,Bz4X,,218.0,200.0,7.5,43400.0,5,330.0,Electric Motor,Electric
TOYOTA,Crown,2494.0,236.0,200.0,7.6,38400.0,5,400.0,Hybrid (ICE+Electric),Hybrid
TOYOTA,Mr2,1986.0,168.0,200.0,6.9,29000.0,2,400.0,Inline,Petrol
TOYOTA,Celica,1986.0,140.0,200.0,8.5,25000.0,5,250.0,Inline,Petrol
HONDA,City,1497.0,119.0,180.0,10.2,15400.0,5,145.0,Inline,Hybrid
HONDA,Civic,1996.0,158.0,200.0,8.5,20400.0,5,400.0,Inline,Petrol
HYUNDAI,I10,1197.0,87.0,160.0,12.2,12400.0,5,120.0,Inline,Petrol
HYUNDAI,I20,1396.0,99.0,180.0,10.5,15400.0,5,250.0,Inline,Hybrid
HYUNDAI,Elantra,1999.0,147.0,200.0,9.5,18400.0,5,250.0,Inline,Hybrid
MAHINDRA,Xuv500,2179.0,155.0,180.0,10.5,18400.0,7,400.0,Inline,Diesel
MAHINDRA,Scorpio,2179.0,140.0,160.0,11.2,16400.0,7,280.0,Inline,Diesel
MAHINDRA,Thar,1997.0,150.0,180.0,10.5,20400.0,4,320.0,Inline,Mixed Fuel
MARUTI SUZUKI,Swift,1197.0,83.0,160.0,12.2,10400.0,5,113.0,Inline,Petrol
MARUTI SUZUKI,Dzire,1197.0,83.0,160.0,12.2,11400.0,5,113.0,Inline,Mixed Fuel
MARUTI SUZUKI,Brezza,1462.0,103.0,180.0,11.5,14400.0,5,200.0,Inline,Petrol
